scaler,method,k,n_components,n_neighbors,min_dist,metric,min_cluster_size,min_samples,selection_method,bic,aic,silhouette,calinski_harabasz,davies_bouldin
Quantile (uniform),HDBSCAN,61,5,8,0.2,correlation,10,15,leaf,,,0.6207294464111328,892.9058227539062,0.6834762861146886
Quantile (uniform),HDBSCAN,33,5,8,0.2,correlation,10,20,eom,,,0.49624305963516235,806.5032958984375,0.870713978758294
Quantile (uniform),HDBSCAN,37,5,8,0.2,correlation,10,20,leaf,,,0.5617300868034363,800.4578857421875,0.7836505756222523
Quantile (uniform),HDBSCAN,25,5,8,0.2,correlation,30,15,eom,,,0.46325165033340454,951.3938598632812,0.8834041928577179
Quantile (uniform),HDBSCAN,28,5,8,0.2,correlation,30,15,leaf,,,0.4832027554512024,1010.7052001953125,0.9221581806923748
Quantile (uniform),HDBSCAN,20,5,8,0.2,correlation,30,20,eom,,,0.42927613854408264,746.6332397460938,0.9073836579202752
Quantile (uniform),HDBSCAN,23,5,8,0.2,correlation,30,20,leaf,,,0.48456642031669617,943.6078491210938,0.8708065045109707
Quantile (uniform),HDBSCAN,47,5,8,0.2,euclidean,10,15,eom,,,0.595404326915741,1330.9481201171875,0.45466286928686706
Quantile (uniform),HDBSCAN,66,5,8,0.2,euclidean,10,15,leaf,,,0.7010669708251953,3182.667236328125,0.39481448883935705
Quantile (uniform),HDBSCAN,29,5,8,0.2,euclidean,10,20,eom,,,0.5650010704994202,1254.2928466796875,0.49807593877849327
Quantile (uniform),HDBSCAN,42,5,8,0.2,euclidean,10,20,leaf,,,0.6842494606971741,2367.37646484375,0.43209671358511026
Quantile (uniform),HDBSCAN,19,5,8,0.2,euclidean,30,15,eom,,,0.45843005180358887,1167.517578125,0.7837663611798472
Quantile (uniform),HDBSCAN,30,5,8,0.2,euclidean,30,15,leaf,,,0.5474199652671814,1569.8785400390625,0.6673138424660626
Quantile (uniform),HDBSCAN,17,5,8,0.2,euclidean,30,20,eom,,,0.5174145102500916,1401.2735595703125,0.6639260521333977
Quantile (uniform),HDBSCAN,23,5,8,0.2,euclidean,30,20,leaf,,,0.5615072250366211,1389.023681640625,0.6587988359639955
Quantile (uniform),HDBSCAN,68,5,15,0.01,correlation,10,15,eom,,,0.6014308929443359,1353.5059814453125,0.9891658656569746
